stock_id,stock_name
9941,裕融
9942,茂順
9943,好樂迪
9944,新麗
9945,潤泰新
9946,三發地產
9955,佳龍
9958,世紀鋼
9933,中鼎
9931,欣高
9930,中聯資源
9929,秋雨
9802,鈺齊-KY
9902,台火
9904,寶成
9905,大華
9906,欣巴巴
9907,統一實
9908,大台北
9910,豐泰
9911,櫻花
9912,偉聯
9914,美利達
9917,中保科
9918,欣天然
9919,康那香
9921,巨大
9924,福興
9925,新保
9926,新海
9927,泰銘
9928,中視
9912,偉聯
8131,福懋科
8131,福懋科
8150,南茂
8150,南茂
8162,微矽電子-創
8162,微矽電子-創
8162,微矽電子-創
8163,達方
8163,達方
8201,無敵
8201,無敵
8210,勤誠
8210,勤誠
8114,振樺電
8114,振樺電
8101,華冠
8101,華冠
8103,瀚荃
8213,志超
8103,瀚荃
8104,錸寶
8105,凌巨
8105,凌巨
8110,華東
8110,華東
8112,至上
8112,至上
8104,錸寶
8213,志超
8215,明基材
8215,明基材
8367,建新國際
8374,羅昇
8404,百和興業-KY
8411,福貞-KY
8422,可寧衛
8429,金麗-KY
8222,寶一
8249,菱光
8249,菱光
8261,富鼎
8261,富鼎
8271,宇瞻
8271,宇瞻
8341,日友
6534,正瀚-創
6691,洋基工程
6691,洋基工程
6695,芯鼎
6695,芯鼎
6698,旭暉應材
6698,旭暉應材
6706,惠特
6706,惠特
6689,伊雲谷
6666,羅麗芬-KY
6666,羅麗芬-KY
6668,中揚光
6668,中揚光
6669,緯穎
6715,嘉基
6669,緯穎
6671,三能-KY
6672,騰輝電子-KY
6672,騰輝電子-KY
6674,鋐寶科技
6674,鋐寶科技
6670,復盛應用
6658,聯策
6715,嘉基
6719,力智
6753,龍德造船
6754,匯僑設計
6756,威鋒電子
6756,威鋒電子
6757,台灣虎航
6770,力積電
6770,力積電
6771,平和環保-創
6771,平和環保-創
6776,展碁國際
6719,力智
6742,澤米
6742,澤米
6743,安普新
6743,安普新
6776,展碁國際
6658,聯策
6657,華安
6573,虹揚-KY
6573,虹揚-KY
6579,研揚
6579,研揚
6581,鋼聯
6582,申豐
6585,鼎基
6534,正瀚-創
6541,泰福-KY
6541,泰福-KY
6589,台康生技
6550,北極星藥業-KY
6550,北極星藥業-KY
6552,易華電
6552,易華電
6558,興能高
6558,興能高
6657,華安
6589,台康生技
6591,動力-KY
6625,必應
6641,基士德-KY
6645,金萬林-創
6645,金萬林-創
6645,金萬林-創
6655,科定
6591,動力-KY
6592,和潤企業
6598,ABC-KY
6598,ABC-KY
6605,帝寶
6606,建德工業
6781,AES-KY
6781,AES-KY
6918,愛派司
6919,康霈*
6919,康霈*
6923,中台
6924,榮惠-KY創
6924,榮惠-KY創
6924,榮惠-KY創
6928,攸泰科技
6928,攸泰科技
6931,青松健康
6931,青松健康
6933,AMAX-KY
6933,AMAX-KY
6918,愛派司
6916,華凌
6916,華凌
6887,寶綠特-KY
6890,來億-KY
6901,鑽石投資
6902,GOGOLOOK
6906,現觀科
6909,創控
6909,創控
6914,阜爾運通
6936,永鴻生技
6937,天虹
6969,成信實業*-創
6969,成信實業*-創
6988,威力暘-創
6988,威力暘-創
6994,富威電力
6965,中傑-KY
6962,奕力-KY
6962,奕力-KY
6937,天虹
6944,兆聯實業
6949,沛爾生醫-創
6949,沛爾生醫-創
6936,永鴻生技
